	'WHILE'	'TYPE'	'REAL'	'IF'	'DIVIDE'	'PROGRAM'	'stmt'	'ARRAY'	'LESS_EQ'	'assign'	'VAR'	'END'	'DOT'	'RIGHT_PAREN'	'EQ'	'STRING'	'FLOAT'	'io'	'MINUS'	'decl'	'INT'	'OF'	'NOT'	'COLON'	'rel_op'	'ident_list'	'stmt_list'	'RIGHT_BRACKET'	'MOD'	'GREATER'	'INTEGER'	'SEMICOLON'	'PRINT'	'GREATER_EQ'	'COMMA'	'if_stmt'	'TRUE'	'program'	'LEFT_PAREN'	'cond'	'DIV'	'LOOP'	'factor'	'PLUS'	'IDENTIFIER'	'term'	'NOT_EQ'	'BEGIN'	'LESS'	'FALSE'	'decl_list'	'LEFT_BRACKET'	'ELSE'	'while_stmt'	'ASSIGN'	'THEN'	'expr'	'block'	'type'	'MULTIPLICATION'	'var_decl'	
'PLUS322'																	'FLOAT461'		'MINUS401'				'NOT411'								'INTEGER451'						'TRUE471'		'LEFT_PAREN421'				'factor391'		'IDENTIFIER431', 'IDENTIFIER441'	'term323', 'term351', 'term361', 'term371', 'term381'				'FALSE481'												
'MINUS332'																	'FLOAT461'		'MINUS401'				'NOT411'								'INTEGER451'						'TRUE471'		'LEFT_PAREN421'				'factor391'		'IDENTIFIER431', 'IDENTIFIER441'	'term333', 'term351', 'term361', 'term371', 'term381'				'FALSE481'												
'rel_op492'																	'FLOAT461'		'MINUS401'				'NOT411'								'INTEGER451'						'TRUE471'		'LEFT_PAREN421'				'factor391'		'IDENTIFIER431', 'IDENTIFIER441'	'term341', 'term351', 'term361', 'term371', 'term381'				'FALSE481'							'expr493', 'expr321', 'expr331'					
'EQ501'																	'R50'		'R50'				'R50'								'R50'						'R50'		'R50'				'R50'		'R50'	'R50'				'R50'							'R50'					
'NOT_EQ511'																	'R51'		'R51'				'R51'								'R51'						'R51'		'R51'				'R51'		'R51'	'R51'				'R51'							'R51'					
'LESS521'																	'R52'		'R52'				'R52'								'R52'						'R52'		'R52'				'R52'		'R52'	'R52'				'R52'							'R52'					
'GREATER531'																	'R53'		'R53'				'R53'								'R53'						'R53'		'R53'				'R53'		'R53'	'R53'				'R53'							'R53'					
'LESS_EQ541'																	'R54'		'R54'				'R54'								'R54'						'R54'		'R54'				'R54'		'R54'	'R54'				'R54'							'R54'					
'GREATER_EQ551'																	'R55'		'R55'				'R55'								'R55'						'R55'		'R55'				'R55'		'R55'	'R55'				'R55'							'R55'					
'MULTIPLICATION352'																	'FLOAT461'		'MINUS401'				'NOT411'								'INTEGER451'						'TRUE471'		'LEFT_PAREN421'				'factor353'		'IDENTIFIER431', 'IDENTIFIER441'					'FALSE481'												
