;'BEGIN';'decl_list';'PROGRAM';'COLON';'LEFT_PAREN';'REAL';'NOT';'var_decl';'WHILE';'factor';'SEMICOLON';'assign';'type';'expr';'block_without_if';'DIVIDE';'CHAR';'DOT';'DIV';'VAR';'PRINT';'stmt_list';'IDENTIFIER';'MULTIPLICATION';'GREATER_EQ';'LEFT_BRACKET';'block';'full_id';'ARRAY';'IF';'RIGHT_BRACKET';'cond';'EQ';'term';'MOD';'ELSE';'INTEGER';'STRING';'FALSE';'THEN';'io';'program';'NOT_EQ';'GREATER';'while_stmt';'ident_list';'FLOAT';'RIGHT_PAREN';'TYPE';'END';'out';'COMMA';'rel_op';'stmt';'OF';'PLUS';'MINUS';'TRUE';'stmt_without_if';'LESS';'decl';'INT';'if_stmt';'READ';'LESS_EQ';'ASSIGN'
'program';;;'PROGRAM11','PROGRAM21','PROGRAM31';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;'OK';;;;;;;;;;;;;;;;;;;;;;;;
'PROGRAM11','PROGRAM21','PROGRAM31';;;;;;;;;;;;;;;;;;;;;;;'IDENTIFIER12','IDENTIFIER22','IDENTIFIER32';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'SEMICOLON102';'R10';;;;;;;;'R10';;'R10';'R10';;;;;;;;;'R10';'R10';'R10';;;;'R10';'R10';;'R10';;;;;;'R10';;;;;'R10';;;;'R10';;;;;'R10';'R10';;;'R10';;;;;;;;;'R10';'R10';;
'SEMICOLON132';'R13';;;;;;;;'R13';;'R13';'R13';;;;;;;;;'R13';'R13';'R13';;;;'R13';'R13';;'R13';;;;;;'R13';;;;;'R13';;;;'R13';;;;;'R13';'R13';;;'R13';;;;;;;;;'R13';'R13';;
'SEMICOLON142';'R14';;;;;;;;'R14';;'R14';'R14';;;;;;;;;'R14';'R14';'R14';;;;'R14';'R14';;'R14';;;;;;'R14';;;;;'R14';;;;'R14';;;;;'R14';'R14';;;'R14';;;;;;;;;'R14';'R14';;
'ASSIGN252';;;;;'LEFT_PAREN431';;'NOT421';;;'factor391';;;;'expr253','expr321','expr331';;;;;;;;;'IDENTIFIER561','IDENTIFIER571';;;;;'full_id401';;;;;;'term341','term351','term361','term371','term381';;;'INTEGER441';;'FALSE471';;;;;;;;'FLOAT451';;;;;;;;;;'MINUS411';'TRUE461';;;;;;;;
'cond262','cond272';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;'THEN263','THEN273';;;;;;;;;;;;;;;;;;;;;;;;;;
'expr321','expr331','expr481','expr491';'R49';;;;;;;;'R49';;'R49';'R49';;;;;;;;;'R49';;'R49';;'GREATER_EQ551';;'R49';'R49';;'R49';;;'EQ501';;;;;;;'R49';'R49';;'NOT_EQ511';'GREATER531';'R49';;;;;;'R49';;'rel_op482';'R49';;'PLUS322';'MINUS332';;;'LESS521';;;'R49';'R49';'LESS_EQ541';
'term341','term351','term361','term371','term381';'R34';;;;;;;;'R34';;'R34';'R34';;;;'DIVIDE362';;;'DIV372';;'R34';;'R34';'MULTIPLICATION352';'R34';;'R34';'R34';;'R34';'R34';;'R34';;'MOD382';;;;;'R34';'R34';;'R34';'R34';'R34';;;'R34';;;'R34';;'R34';'R34';;'R34';'R34';;;'R34';;;'R34';'R34';'R34';
'factor391';'R39';;;;;;;;'R39';;'R39';'R39';;;;'R39';;;'R39';;'R39';;'R39';'R39';'R39';;'R39';'R39';;'R39';'R39';;'R39';;'R39';;;;;'R39';'R39';;'R39';'R39';'R39';;;'R39';;;'R39';;'R39';'R39';;'R39';'R39';;;'R39';;;'R39';'R39';'R39';
'full_id401';'R40';;;;;;;;'R40';;'R40';'R40';;;;'R40';;;'R40';;'R40';;'R40';'R40';'R40';;'R40';'R40';;'R40';'R40';;'R40';;'R40';;;;;'R40';'R40';;'R40';'R40';'R40';;;'R40';;;'R40';;'R40';'R40';;'R40';'R40';;;'R40';;;'R40';'R40';'R40';
'MINUS411';;;;;'LEFT_PAREN431';;'NOT421';;;'factor412';;;;;;;;;;;;;'IDENTIFIER561','IDENTIFIER571';;;;;'full_id401';;;;;;;;;'INTEGER441';;'FALSE471';;;;;;;;'FLOAT451';;;;;;;;;;'MINUS411';'TRUE461';;;;;;;;
'NOT421';;;;;'LEFT_PAREN431';;'NOT421';;;'factor422';;;;;;;;;;;;;'IDENTIFIER561','IDENTIFIER571';;;;;'full_id401';;;;;;;;;'INTEGER441';;'FALSE471';;;;;;;;'FLOAT451';;;;;;;;;;'MINUS411';'TRUE461';;;;;;;;
'LEFT_PAREN431';;;;;'LEFT_PAREN431';;'NOT421';;;'factor391';;;;'expr432','expr321','expr331';;;;;;;;;'IDENTIFIER561','IDENTIFIER571';;;;;'full_id401';;;;;;'term341','term351','term361','term371','term381';;;'INTEGER441';;'FALSE471';;;;;;;;'FLOAT451';;;;;;;;;;'MINUS411';'TRUE461';;;;;;;;
'INTEGER441';'R44';;;;;;;;'R44';;'R44';'R44';;;;'R44';;;'R44';;'R44';;'R44';'R44';'R44';;'R44';'R44';;'R44';'R44';;'R44';;'R44';;;;;'R44';'R44';;'R44';'R44';'R44';;;'R44';;;'R44';;'R44';'R44';;'R44';'R44';;;'R44';;;'R44';'R44';'R44';
